id,user_id,type,status_change,reply,created_at
19,31,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-09-06 00:00:00"
20,32,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-09-07 00:00:00"
21,35,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-12-05 00:00:00"
22,36,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-12-18 00:00:00"
23,39,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-01-15 00:00:00"
24,40,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-01-19 00:00:00"
25,41,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-01-19 00:00:00"
26,43,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-02-11 00:00:00"
27,44,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-02-12 00:00:00"
28,45,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-02-14 00:00:00"
29,47,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-03-17 00:00:00"
30,48,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-03-29 00:00:00"
31,50,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-04-12 00:00:00"
32,51,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-04-16 00:00:00"
33,53,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-05-04 00:00:00"
34,54,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-06-06 00:00:00"
35,2,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-06-25 00:00:00"
36,3,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-06-27 00:00:00"
37,4,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-06-28 00:00:00"
38,5,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-07-11 00:00:00"
39,6,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-07-13 00:00:00"
40,7,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-07-19 00:00:00"
41,9,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-07-25 00:00:00"
42,11,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-08-06 00:00:00"
43,12,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2025-08-14 00:00:00"
44,13,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2025-08-23 00:00:00"
45,14,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2025-08-24 00:00:00"
46,,group,,"SENCITY 앱이 업데이트되었어요!","2025-08-28 05:52:45.116483"
47,,group,,"우천 시 로드킬 발생 주의 안내 감속 운전으로 함께 생명을 지켜주세요.","2025-08-28 05:52:45.116483"
48,,group,,"적설 시 로드킬 사고 급증 야간이나 새벽 운행 시 저속 운전 부탁드립니다.","2025-08-28 05:52:45.117486"
49,,group,,"안개로 시야 확보 어려움 주변 도로에 야생동물 주의 바랍니다.","2025-08-28 05:52:45.117486"
50,,group,,"태풍 후 야생동물 이동 증가 도로 위 돌발 상황에 주의하세요.","2025-08-28 05:52:45.117486"
51,,group,,"건조한 날씨로 산불 위험 증가 야생동물의 이동이 잦아질 수 있습니다.","2025-08-28 05:52:45.117486"
52,,group,,"우박으로 인한 야생동물 이동 증가 야생동물의 이동이 잦아질 수 있습니다.","2025-08-28 05:52:45.117486"
53,,group,,"SENCITY 서비스 점검 안내 보다 나은 서비스 제공을 위해 점검 시간에는 일부 기능 이용이 제한될 수 있으니 양해 부탁드립니다.","2025-08-28 05:52:45.117486"
54,,group,,"새로운 기능이 추가되었어요! 지금 앱을 열고 새로운 기능을 확인해보세요","2025-08-28 05:52:45.117486"
55,,group,,"SENCITY 캠페인 참여 안내 작은 관심이 생명을 살립니다지금 SENCITY와 함께 로드킬 줄이기 캠페인에 참여해 보세요!","2025-08-28 05:52:45.117486"
56,,group,,"위치정보 오류 수정 안내 불편을 드려 죄송합니다. 앞으로 더 안정적인 서비스를 제공하겠습니다.","2025-08-28 05:52:45.117486"
57,,group,,"보안 강화/정책 변경 안내 비밀번호는 주기적으로 변경해 주세요.","2025-08-28 05:52:45.117486"
58,,group,,"앱 버전 지원 중단 안내 원활한 이용을 위해 최신 버전으로 업데이트해 주세요.","2025-08-28 05:52:45.117486"
59,,group,,"일시적 장애/복구 안내 불편을 드려 죄송합니다. 더 안정적인 서비스를 위해 노력하겠습니다.","2025-08-28 05:52:45.117486"
60,,group,,"최근 산책로 인근 야생동물 출현 주변 야생동물 주의 바랍니다.","2025-08-28 05:52:45.117486"
61,,group,,"야생동물 번식기에는 공격성이 증가합니다 새끼를 발견해도 가까이 다가가지 마세요.","2025-08-28 05:52:45.117486"
62,,group,,"최근 산불 영향으로 야생동물 이동이 증가 중입니다 산행 중 마주칠 경우 천천히 거리 유지하세요.","2025-08-28 05:52:45.117486"
63,,group,,"최근 멧돼지 출몰 신고 다수 발생 산행 시 마주칠 경우 등을 보이지 말고 천천히 이동하세요.","2025-08-28 05:52:45.117486"
64,,group,,"산길 인근 먹이 활동 활발 음식물 쓰레기 방치 금지 및 주변 환경 보호에 협조 바랍니다.","2025-08-28 05:52:45.117486"
65,,group,,"산길 낙석 및 미끄럼 주의 위험 구간에서는 주변을 잘 살피고 조심하세요.","2025-08-28 05:52:45.117486"
